manufacturer,category,screen_size,screen,ram,operating_system,weight,price,width_screen,height_screen,touchscreen,amd,intel,freq_cpu,ssd,hdd,hybrid,flash,brand_gpu
7,3,15.6,0,4,4,1.86,3281148.0,1366,768,0,1.0,0.0,2.5,256.0,0.0,0.0,0.0,0
2,4,14.0,2,8,4,1.25,9772308.0,1920,1080,0,0.0,1.0,1.8,256.0,0.0,0.0,0.0,1
7,4,12.5,4,8,4,0.97,17908488.0,3840,2160,0,0.0,1.0,1.2,512.0,0.0,0.0,0.0,1
2,3,15.6,2,4,4,,3058848.0,1920,1080,0,0.0,1.0,1.1,0.0,1024.0,0.0,0.0,1
11,1,17.3,2,16,4,2.9,18041868.0,1920,1080,0,0.0,1.0,2.8,256.0,1024.0,0.0,0.0,2
0,3,15.6,0,4,4,2.1,3974724.0,1366,768,0,0.0,1.0,,0.0,1024.0,0.0,0.0,1
4,1,15.6,2,16,4,2.56,11108419.92,1920,1080,0,0.0,1.0,2.8,512.0,0.0,0.0,0.0,2
4,1,15.6,2,8,4,2.62,7993908.0,1920,1080,0,0.0,1.0,2.8,0.0,0.0,1024.0,0.0,2
10,3,15.6,0,4,4,1.9,4428216.0,1366,768,0,0.0,1.0,2.5,128.0,0.0,0.0,0.0,1
11,1,17.3,2,16,4,2.8,16805880.0,1920,1080,0,0.0,1.0,2.8,256.0,1024.0,0.0,0.0,2
7,4,14.0,2,4,4,1.48,9621144.0,1920,1080,0,0.0,1.0,2.7,256.0,0.0,0.0,0.0,1
7,3,15.6,2,6,4,1.91,5504148.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,0
10,0,14.0,5,4,4,1.74,5593068.0,1920,1080,0,0.0,1.0,2.4,256.0,0.0,0.0,0.0,1
2,0,13.3,2,8,4,1.1,11692980.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,1
4,0,15.6,2,8,4,1.56,9327708.0,1920,1080,0,0.0,1.0,1.8,256.0,0.0,0.0,0.0,1
16,3,15.6,0,4,4,2.1,3974724.0,1366,768,0,0.0,1.0,2.2,0.0,500.0,0.0,0.0,1
2,3,15.6,0,4,4,2.03,3583476.0,1366,768,0,1.0,0.0,,0.0,1024.0,0.0,0.0,0
0,3,17.3,5,4,4,,7158060.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,2
4,3,15.6,2,8,4,2.13,6473376.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,0
10,1,15.6,5,16,4,2.5,9594468.0,1920,1080,0,0.0,1.0,2.8,256.0,0.0,0.0,0.0,2
0,3,15.6,0,4,4,2.1,3094416.0,1366,768,0,0.0,1.0,1.1,0.0,1024.0,0.0,0.0,1
11,1,15.6,5,16,4,2.4,15996708.0,1920,1080,0,0.0,1.0,2.8,256.0,1024.0,0.0,0.0,2
0,3,15.6,0,4,4,2.1,3232330.92,1366,768,0,0.0,1.0,1.1,0.0,1024.0,0.0,0.0,1
4,1,15.6,2,8,4,2.56,9429877.08,1920,1080,0,0.0,1.0,2.8,128.0,1024.0,0.0,0.0,2
0,3,17.3,5,8,4,,7593768.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,2
7,3,13.3,5,4,4,1.49,6704568.0,1920,1080,0,0.0,1.0,1.6,0.0,500.0,0.0,0.0,1
8,4,13.0,5,8,4,1.05,11995308.0,2160,1440,0,0.0,1.0,2.5,256.0,0.0,0.0,0.0,1
7,3,17.3,5,6,4,2.71,6215508.0,1920,1080,0,0.0,1.0,2.5,0.0,2048.0,0.0,0.0,0
10,3,15.6,0,4,3,2.2,2747628.0,1366,768,0,1.0,0.0,2.9,0.0,500.0,0.0,0.0,0
16,3,15.6,0,4,4,,4348188.0,1366,768,0,0.0,1.0,2.4,0.0,500.0,0.0,0.0,1
7,3,17.3,2,8,4,2.5,8207316.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,2
4,3,15.6,0,8,4,2.3,4081428.0,1366,768,0,0.0,1.0,2.4,0.0,1024.0,0.0,0.0,1
0,3,15.6,0,4,4,2.1,3992508.0,1366,768,0,0.0,1.0,,128.0,0.0,0.0,0.0,1
11,1,18.4,2,32,4,4.4,24888708.0,1920,1080,0,0.0,1.0,2.9,512.0,1024.0,0.0,0.0,2
10,3,15.6,2,8,4,1.9,7229196.0,1920,1080,0,0.0,1.0,2.5,128.0,1024.0,0.0,0.0,0
7,0,13.3,4,8,4,1.29,13329108.0,3840,2160,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,1
4,3,15.6,2,16,2,2.02,9327708.0,1920,1080,0,0.0,1.0,1.8,256.0,2048.0,0.0,0.0,0
4,4,13.3,2,8,4,1.23,12439908.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,1
10,0,13.9,4,16,4,1.4,16441308.0,3840,2160,0,0.0,1.0,1.8,512.0,0.0,0.0,0.0,1
16,3,15.6,0,8,4,2.0,7051356.0,1366,768,0,0.0,1.0,2.5,128.0,0.0,0.0,0.0,1
18,3,15.6,5,8,3,1.95,10661508.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,2
4,3,17.3,2,16,4,2.77,13773708.0,1920,1080,0,0.0,1.0,1.8,512.0,0.0,0.0,0.0,2
4,3,15.6,1,16,4,2.06,21314124.0,3840,2160,0,0.0,1.0,2.8,512.0,0.0,0.0,0.0,2
10,1,15.6,5,8,3,2.4,6926868.0,1920,1080,0,0.0,1.0,2.5,256.0,0.0,0.0,0.0,2
0,4,13.3,5,8,4,1.12,8794188.0,1920,1080,0,0.0,1.0,1.2,256.0,0.0,0.0,0.0,1
4,3,17.3,2,8,4,2.8,9647820.0,1920,1080,0,0.0,1.0,1.8,128.0,1024.0,0.0,0.0,0
10,0,14.0,0,16,4,1.42,25111008.0,2560,1440,1,0.0,1.0,2.7,1024.0,0.0,0.0,0.0,1
17,3,14.0,5,4,4,1.3,2311920.0,1920,1080,0,0.0,1.0,1.1,0.0,0.0,0.0,32.0,1
18,4,13.3,5,8,3,1.3,8891110.8,1920,1080,0,0.0,1.0,2.5,256.0,0.0,0.0,0.0,2
10,3,17.3,0,8,3,2.8,6206616.0,1600,900,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,2
4,0,13.3,5,8,4,1.62,7460388.0,1920,1080,0,0.0,1.0,1.8,0.0,1024.0,0.0,0.0,1
7,3,17.3,5,8,4,2.5,8127288.0,1920,1080,0,0.0,1.0,1.6,0.0,1024.0,0.0,0.0,2
7,3,13.3,2,8,4,1.49,8527428.0,1920,1080,0,0.0,1.0,1.6,512.0,0.0,0.0,0.0,1
7,1,17.3,5,16,4,3.35,12262068.0,1920,1080,0,0.0,1.0,2.8,256.0,1024.0,0.0,0.0,2
7,3,17.3,2,8,4,2.5,9292140.0,1920,1080,0,0.0,1.0,1.8,256.0,0.0,0.0,0.0,2
4,1,15.6,4,16,4,2.65,16405740.0,3840,2160,0,0.0,1.0,2.8,512.0,1024.0,0.0,0.0,2
10,3,15.6,0,4,4,2.1,4383756.0,1366,768,0,0.0,1.0,2.3,128.0,0.0,0.0,0.0,1
0,3,15.6,2,8,4,2.23,6597864.0,1920,1080,0,0.0,1.0,2.7,0.0,1024.0,0.0,0.0,2
10,1,15.6,5,16,4,3.2,15552108.0,1920,1080,0,0.0,1.0,2.8,512.0,1024.0,0.0,0.0,2
4,5,15.6,1,16,4,2.8,27165060.0,3840,2160,0,0.0,1.0,,256.0,1024.0,0.0,0.0,2
10,1,15.6,2,16,3,2.4,12431016.0,1920,1080,0,0.0,1.0,2.8,512.0,0.0,0.0,0.0,2
4,3,15.6,0,6,4,2.3,3903588.0,1366,768,1,0.0,1.0,2.4,0.0,1024.0,0.0,0.0,1
4,4,13.3,4,8,4,1.21,17330508.0,3840,2160,0,0.0,1.0,1.8,256.0,0.0,0.0,0.0,1
4,4,13.3,2,8,4,1.2,12884508.0,1920,1080,0,0.0,1.0,1.8,256.0,0.0,0.0,0.0,1
10,3,15.6,0,8,4,2.2,5308524.0,1366,768,0,0.0,1.0,2.5,256.0,0.0,0.0,0.0,1
0,3,15.6,2,8,2,2.4,6926868.0,1920,1080,0,0.0,1.0,2.8,0.0,1024.0,0.0,0.0,2
2,1,17.3,2,16,4,2.9,12511044.0,1920,1080,0,0.0,1.0,2.8,256.0,1024.0,0.0,0.0,2
7,3,15.6,2,4,3,2.1,3103308.0,1920,1080,0,0.0,1.0,,0.0,500.0,0.0,0.0,1
10,3,15.6,2,8,3,2.2,4881708.0,1920,1080,0,0.0,1.0,2.5,256.0,0.0,0.0,0.0,1
8,4,13.0,5,8,4,1.05,13329108.0,2160,1440,0,0.0,1.0,2.7,512.0,0.0,0.0,0.0,1
4,4,13.3,5,8,4,1.4,8286276.96,1920,1080,0,0.0,1.0,1.8,256.0,0.0,0.0,0.0,0
10,3,17.3,0,8,3,2.8,5237388.0,1600,900,0,0.0,1.0,2.5,0.0,1024.0,0.0,0.0,2
7,3,14.0,2,8,4,1.63,9167652.0,1920,1080,0,0.0,1.0,1.8,256.0,0.0,0.0,0.0,2
4,4,14.0,2,8,4,1.6,10216908.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,1
4,0,13.3,2,16,4,1.62,11372868.0,1920,1080,0,0.0,1.0,1.8,512.0,0.0,0.0,0.0,1
4,3,15.6,2,8,2,2.2,6022996.2,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,0
10,0,14.0,5,8,4,1.74,7993908.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,1
16,4,13.3,2,8,4,1.2,12119796.0,1920,1080,0,0.0,1.0,2.5,256.0,0.0,0.0,0.0,1
7,3,15.6,2,8,4,2.1,7060248.0,1920,1080,0,0.0,1.0,1.6,0.0,1024.0,0.0,0.0,1
